Indicator,Sub-Indicator,Date,Value
Interest Rate on Deposits and Loans in USD,Term Loans,2020-02-01,0.250
Interest Rate on Deposits and Loans in USD,Other Loans,2020-02-01,3.530
Interest Rate on Deposits and Loans in USD,Demand Deposits,2020-02-01,2.160
Interest Rate on Deposits and Loans in USD,Saving Deposits,2020-02-01,7.570
Interest Rate on Deposits and Loans in USD,Term Deposits,2020-02-01,8.840
Interest Rate on Deposits and Loans in USD,Other Deposits,2020-02-01,9.600
Interest Rate on Deposits and Loans in USD,Overdraft,2020-02-01,6.440
Interest Rate on Deposits and Loans in KHR,Credit Card,2020-02-01,0.280
Interest Rate on Deposits and Loans in KHR,Term Loans,2020-02-01,0.810
Interest Rate on Deposits and Loans in KHR,Other Loans,2020-02-01,5.670
Interest Rate on Deposits and Loans in KHR,Demand Deposits,2020-02-01,2.230
Interest Rate on Deposits and Loans in KHR,Saving Deposits,2020-02-01,8.120
Interest Rate on Deposits and Loans in KHR,Term Deposits,2020-02-01,17.060
Interest Rate on Deposits and Loans in KHR,Other Deposits,2020-02-01,10.610
Interest Rate on Deposits and Loans in KHR,Overdraft,2020-02-01,6.860
Interest Rate on Deposits and Loans in USD,Credit Card,2020-02-01,0.470
Interest Rate on Deposits and Loans in USD,Term Loans,2020-02-01,0.410
Interest Rate on Deposits and Loans in USD,Other Loans,2020-02-01,4.370
Interest Rate on Deposits and Loans in USD,Demand Deposits,2020-02-01,2.030
Interest Rate on Deposits and Loans in USD,Saving Deposits,2020-02-01,7.850
Interest Rate on Deposits and Loans in USD,Term Deposits,2020-02-01,15.340
Interest Rate on Deposits and Loans in USD,Other Deposits,2020-02-01,9.510
Interest Rate on Deposits and Loans in USD,Overdraft,2020-02-01,7.160
Interest Rate on Deposits and Loans in USD,Credit Card,2020-02-01,
Interest Rate on Deposits and Loans in KHR,Term Loans,2020-03-01,0.060
Interest Rate on Deposits and Loans in KHR,Other Loans,2020-03-01,0.660
Interest Rate on Deposits and Loans in KHR,Demand Deposits,2020-03-01,5.470
Interest Rate on Deposits and Loans in KHR,Saving Deposits,2020-03-01,0.000
Interest Rate on Deposits and Loans in KHR,Term Deposits,2020-03-01,7.940
Interest Rate on Deposits and Loans in KHR,Other Deposits,2020-03-01,15.580
Interest Rate on Deposits and Loans in KHR,Overdraft,2020-03-01,10.860
Interest Rate on Deposits and Loans in KHR,Credit Card,2020-03-01,7.390
Interest Rate on Deposits and Loans in USD,Term Loans,2020-03-01,0.120
Interest Rate on Deposits and Loans in USD,Other Loans,2020-03-01,0.250
Interest Rate on Deposits and Loans in USD,Demand Deposits,2020-03-01,3.350
Interest Rate on Deposits and Loans in USD,Saving Deposits,2020-03-01,2.480
Interest Rate on Deposits and Loans in USD,Term Deposits,2020-03-01,7.490
Interest Rate on Deposits and Loans in USD,Other Deposits,2020-03-01,14.790
Interest Rate on Deposits and Loans in USD,Overdraft,2020-03-01,9.410
Interest Rate on Deposits and Loans in USD,Credit Card,2020-03-01,6.160
Interest Rate on Deposits and Loans in KHR,Term Loans,2020-03-01,0.180
Interest Rate on Deposits and Loans in KHR,Other Loans,2020-03-01,0.890
Interest Rate on Deposits and Loans in KHR,Demand Deposits,2020-03-01,5.780
Interest Rate on Deposits and Loans in KHR,Saving Deposits,2020-03-01,3.530
Interest Rate on Deposits and Loans in KHR,Term Deposits,2020-03-01,8.080
Interest Rate on Deposits and Loans in KHR,Other Deposits,2020-03-01,16.870
Interest Rate on Deposits and Loans in KHR,Overdraft,2020-03-01,10.660
Interest Rate on Deposits and Loans in KHR,Credit Card,2020-03-01,6.880
Interest Rate on Deposits and Loans in USD,Term Loans,2020-03-01,0.360
Interest Rate on Deposits and Loans in USD,Other Loans,2020-03-01,0.460
Interest Rate on Deposits and Loans in USD,Demand Deposits,2020-03-01,4.380
Interest Rate on Deposits and Loans in USD,Saving Deposits,2020-03-01,2.030
Interest Rate on Deposits and Loans in USD,Term Deposits,2020-03-01,7.780
Interest Rate on Deposits and Loans in USD,Other Deposits,2020-03-01,18.180
Interest Rate on Deposits and Loans in USD,Overdraft,2020-03-01,9.460
Interest Rate on Deposits and Loans in USD,Credit Card,2020-03-01,7.100
Interest Rate on Deposits and Loans in USD,Term Loans,2020-03-01,
Interest Rate on Deposits and Loans in KHR,Other Loans,2020-04-01,0.060
Interest Rate on Deposits and Loans in KHR,Demand Deposits,2020-04-01,0.660
Interest Rate on Deposits and Loans in KHR,Saving Deposits,2020-04-01,4.910
Interest Rate on Deposits and Loans in KHR,Term Deposits,2020-04-01,1.620
Interest Rate on Deposits and Loans in KHR,Other Deposits,2020-04-01,7.930
Interest Rate on Deposits and Loans in KHR,Overdraft,2020-04-01,17.310
Interest Rate on Deposits and Loans in KHR,Credit Card,2020-04-01,10.390
Interest Rate on Deposits and Loans in KHR,Term Loans,2020-04-01,6.630
Interest Rate on Deposits and Loans in USD,Other Loans,2020-04-01,0.140
Interest Rate on Deposits and Loans in USD,Demand Deposits,2020-04-01,0.250
Interest Rate on Deposits and Loans in USD,Saving Deposits,2020-04-01,3.280
Interest Rate on Deposits and Loans in USD,Term Deposits,2020-04-01,2.030
Interest Rate on Deposits and Loans in USD,Other Deposits,2020-04-01,7.490
Interest Rate on Deposits and Loans in USD,Overdraft,2020-04-01,16.590
Interest Rate on Deposits and Loans in USD,Credit Card,2020-04-01,8.780
Interest Rate on Deposits and Loans in USD,Term Loans,2020-04-01,5.640
Interest Rate on Deposits and Loans in KHR,Other Loans,2020-04-01,0.190
Interest Rate on Deposits and Loans in KHR,Demand Deposits,2020-04-01,0.900
Interest Rate on Deposits and Loans in KHR,Saving Deposits,2020-04-01,5.930
Interest Rate on Deposits and Loans in KHR,Term Deposits,2020-04-01,3.290
Interest Rate on Deposits and Loans in KHR,Other Deposits,2020-04-01,8.030
Interest Rate on Deposits and Loans in KHR,Overdraft,2020-04-01,16.840
Interest Rate on Deposits and Loans in KHR,Credit Card,2020-04-01,10.540
Interest Rate on Deposits and Loans in KHR,Term Loans,2020-04-01,6.860
Interest Rate on Deposits and Loans in USD,Other Loans,2020-04-01,0.450
Interest Rate on Deposits and Loans in USD,Demand Deposits,2020-04-01,0.430
Interest Rate on Deposits and Loans in USD,Saving Deposits,2020-04-01,4.320
Interest Rate on Deposits and Loans in USD,Term Deposits,2020-04-01,1.990
Interest Rate on Deposits and Loans in USD,Other Deposits,2020-04-01,7.840
Interest Rate on Deposits and Loans in USD,Overdraft,2020-04-01,17.950
Interest Rate on Deposits and Loans in USD,Credit Card,2020-04-01,9.630
Interest Rate on Deposits and Loans in USD,Term Loans,2020-04-01,6.990
Interest Rate on Deposits and Loans in USD,Other Loans,2020-04-01,
Interest Rate on Deposits and Loans in KHR,Demand Deposits,2020-05-01,0.090
Interest Rate on Deposits and Loans in KHR,Saving Deposits,2020-05-01,0.690
Interest Rate on Deposits and Loans in KHR,Term Deposits,2020-05-01,4.420
Interest Rate on Deposits and Loans in KHR,Other Deposits,2020-05-01,2.300
Interest Rate on Deposits and Loans in KHR,Overdraft,2020-05-01,7.960
Interest Rate on Deposits and Loans in KHR,Credit Card,2020-05-01,17.400
Interest Rate on Deposits and Loans in KHR,Term Loans,2020-05-01,11.720
Interest Rate on Deposits and Loans in KHR,Other Loans,2020-05-01,7.720
Interest Rate on Deposits and Loans in USD,Demand Deposits,2020-05-01,0.170
Interest Rate on Deposits and Loans in USD,Saving Deposits,2020-05-01,0.250
Interest Rate on Deposits and Loans in USD,Term Deposits,2020-05-01,3.330
Interest Rate on Deposits and Loans in USD,Other Deposits,2020-05-01,0.880
Interest Rate on Deposits and Loans in USD,Overdraft,2020-05-01,7.390
Interest Rate on Deposits and Loans in USD,Credit Card,2020-05-01,16.890
Interest Rate on Deposits and Loans in USD,Term Loans,2020-05-01,9.430
Interest Rate on Deposits and Loans in USD,Other Loans,2020-05-01,5.500
Interest Rate on Deposits and Loans in KHR,Demand Deposits,2020-05-01,0.230
Interest Rate on Deposits and Loans in KHR,Saving Deposits,2020-05-01,0.900
Interest Rate on Deposits and Loans in KHR,Term Deposits,2020-05-01,5.790
Interest Rate on Deposits and Loans in KHR,Other Deposits,2020-05-01,3.350
Interest Rate on Deposits and Loans in KHR,Overdraft,2020-05-01,8.100
Interest Rate on Deposits and Loans in KHR,Credit Card,2020-05-01,16.740
Interest Rate on Deposits and Loans in KHR,Term Loans,2020-05-01,10.440
Interest Rate on Deposits and Loans in KHR,Other Loans,2020-05-01,6.900
Interest Rate on Deposits and Loans in USD,Demand Deposits,2020-05-01,0.460
Interest Rate on Deposits and Loans in USD,Saving Deposits,2020-05-01,0.420
Interest Rate on Deposits and Loans in USD,Term Deposits,2020-05-01,4.350
Interest Rate on Deposits and Loans in USD,Other Deposits,2020-05-01,1.630
Interest Rate on Deposits and Loans in USD,Overdraft,2020-05-01,7.860
Interest Rate on Deposits and Loans in USD,Credit Card,2020-05-01,17.900
Interest Rate on Deposits and Loans in USD,Term Loans,2020-05-01,9.420
Interest Rate on Deposits and Loans in USD,Other Loans,2020-05-01,6.940
Interest Rate on Deposits and Loans in USD,Demand Deposits,2020-05-01,
Interest Rate on Deposits and Loans in KHR,Saving Deposits,2020-06-01,0.040
Interest Rate on Deposits and Loans in KHR,Term Deposits,2020-06-01,0.690
Interest Rate on Deposits and Loans in KHR,Other Deposits,2020-06-01,5.050
Interest Rate on Deposits and Loans in KHR,Overdraft,2020-06-01,2.210
Interest Rate on Deposits and Loans in KHR,Credit Card,2020-06-01,7.980
Interest Rate on Deposits and Loans in KHR,Term Loans,2020-06-01,17.280
Interest Rate on Deposits and Loans in KHR,Other Loans,2020-06-01,10.310
Interest Rate on Deposits and Loans in KHR,Demand Deposits,2020-06-01,6.960
Interest Rate on Deposits and Loans in USD,Saving Deposits,2020-06-01,0.200
Interest Rate on Deposits and Loans in USD,Term Deposits,2020-06-01,0.240
Interest Rate on Deposits and Loans in USD,Other Deposits,2020-06-01,3.340
Interest Rate on Deposits and Loans in USD,Overdraft,2020-06-01,0.790
Interest Rate on Deposits and Loans in USD,Credit Card,2020-06-01,7.450
Interest Rate on Deposits and Loans in USD,Term Loans,2020-06-01,16.890
Interest Rate on Deposits and Loans in USD,Other Loans,2020-06-01,9.220
Interest Rate on Deposits and Loans in USD,Demand Deposits,2020-06-01,5.600
Interest Rate on Deposits and Loans in KHR,Saving Deposits,2020-06-01,0.290
Interest Rate on Deposits and Loans in KHR,Term Deposits,2020-06-01,0.930
Interest Rate on Deposits and Loans in KHR,Other Deposits,2020-06-01,5.710
Interest Rate on Deposits and Loans in KHR,Overdraft,2020-06-01,2.930
Interest Rate on Deposits and Loans in KHR,Credit Card,2020-06-01,8.120
Interest Rate on Deposits and Loans in KHR,Term Loans,2020-06-01,16.730
Interest Rate on Deposits and Loans in KHR,Other Loans,2020-06-01,10.440
Interest Rate on Deposits and Loans in KHR,Demand Deposits,2020-06-01,6.890
Interest Rate on Deposits and Loans in USD,Saving Deposits,2020-06-01,0.440
Interest Rate on Deposits and Loans in USD,Term Deposits,2020-06-01,0.430
Interest Rate on Deposits and Loans in USD,Other Deposits,2020-06-01,4.390
Interest Rate on Deposits and Loans in USD,Overdraft,2020-06-01,1.370
Interest Rate on Deposits and Loans in USD,Credit Card,2020-06-01,7.840
Interest Rate on Deposits and Loans in USD,Term Loans,2020-06-01,17.950
Interest Rate on Deposits and Loans in USD,Other Loans,2020-06-01,9.440
Interest Rate on Deposits and Loans in USD,Demand Deposits,2020-06-01,6.980
Interest Rate on Deposits and Loans in USD,Saving Deposits,2020-06-01,
Interest Rate on Deposits and Loans in KHR,Term Deposits,2020-07-01,0.040
Interest Rate on Deposits and Loans in KHR,Other Deposits,2020-07-01,0.670
Interest Rate on Deposits and Loans in KHR,Overdraft,2020-07-01,4.220
Interest Rate on Deposits and Loans in KHR,Credit Card,2020-07-01,1.610
Interest Rate on Deposits and Loans in KHR,Term Loans,2020-07-01,8.450
Interest Rate on Deposits and Loans in KHR,Other Loans,2020-07-01,16.170
Interest Rate on Deposits and Loans in KHR,Demand Deposits,2020-07-01,11.530
Interest Rate on Deposits and Loans in KHR,Saving Deposits,2020-07-01,6.030
Interest Rate on Deposits and Loans in USD,Term Deposits,2020-07-01,0.080
Interest Rate on Deposits and Loans in USD,Other Deposits,2020-07-01,0.250
Interest Rate on Deposits and Loans in USD,Overdraft,2020-07-01,3.350
Interest Rate on Deposits and Loans in USD,Credit Card,2020-07-01,0.790
Interest Rate on Deposits and Loans in USD,Term Loans,2020-07-01,5.580
Interest Rate on Deposits and Loans in USD,Other Loans,2020-07-01,15.230
Interest Rate on Deposits and Loans in USD,Demand Deposits,2020-07-01,9.270
Interest Rate on Deposits and Loans in USD,Saving Deposits,2020-07-01,5.760
Interest Rate on Deposits and Loans in KHR,Term Deposits,2020-07-01,0.290
Interest Rate on Deposits and Loans in KHR,Other Deposits,2020-07-01,0.980
Interest Rate on Deposits and Loans in KHR,Overdraft,2020-07-01,5.530
Interest Rate on Deposits and Loans in KHR,Credit Card,2020-07-01,2.560
Interest Rate on Deposits and Loans in KHR,Term Loans,2020-07-01,8.090
Interest Rate on Deposits and Loans in KHR,Other Loans,2020-07-01,16.780
Interest Rate on Deposits and Loans in KHR,Demand Deposits,2020-07-01,10.440
Interest Rate on Deposits and Loans in KHR,Saving Deposits,2020-07-01,6.870
Interest Rate on Deposits and Loans in USD,Term Deposits,2020-07-01,0.470
Interest Rate on Deposits and Loans in USD,Other Deposits,2020-07-01,0.440
Interest Rate on Deposits and Loans in USD,Overdraft,2020-07-01,4.340
Interest Rate on Deposits and Loans in USD,Credit Card,2020-07-01,1.000
Interest Rate on Deposits and Loans in USD,Term Loans,2020-07-01,7.870
Interest Rate on Deposits and Loans in USD,Other Loans,2020-07-01,18.020
Interest Rate on Deposits and Loans in USD,Demand Deposits,2020-07-01,9.400
Interest Rate on Deposits and Loans in USD,Saving Deposits,2020-07-01,6.970
Interest Rate on Deposits and Loans in USD,Term Deposits,2020-07-01,
Interest Rate on Deposits and Loans in KHR,Other Deposits,2020-08-01,0.040
Interest Rate on Deposits and Loans in KHR,Overdraft,2020-08-01,0.690
Interest Rate on Deposits and Loans in KHR,Credit Card,2020-08-01,4.170
Interest Rate on Deposits and Loans in KHR,Term Loans,2020-08-01,1.800
Interest Rate on Deposits and Loans in KHR,Other Loans,2020-08-01,8.170
Interest Rate on Deposits and Loans in KHR,Demand Deposits,2020-08-01,14.700
Interest Rate on Deposits and Loans in KHR,Saving Deposits,2020-08-01,11.580
Interest Rate on Deposits and Loans in KHR,Term Deposits,2020-08-01,6.750
Interest Rate on Deposits and Loans in USD,Other Deposits,2020-08-01,0.100
Interest Rate on Deposits and Loans in USD,Overdraft,2020-08-01,0.240
Interest Rate on Deposits and Loans in USD,Credit Card,2020-08-01,3.470
Interest Rate on Deposits and Loans in USD,Term Loans,2020-08-01,0.790
Interest Rate on Deposits and Loans in USD,Other Loans,2020-08-01,6.300
Interest Rate on Deposits and Loans in USD,Demand Deposits,2020-08-01,16.140
Interest Rate on Deposits and Loans in USD,Saving Deposits,2020-08-01,9.270
Interest Rate on Deposits and Loans in USD,Term Deposits,2020-08-01,6.260
Interest Rate on Deposits and Loans in KHR,Other Deposits,2020-08-01,0.280
Interest Rate on Deposits and Loans in KHR,Overdraft,2020-08-01,0.920
Interest Rate on Deposits and Loans in KHR,Credit Card,2020-08-01,5.590
Interest Rate on Deposits and Loans in KHR,Term Loans,2020-08-01,2.570
Interest Rate on Deposits and Loans in KHR,Other Loans,2020-08-01,8.040
Interest Rate on Deposits and Loans in KHR,Demand Deposits,2020-08-01,16.620
Interest Rate on Deposits and Loans in KHR,Saving Deposits,2020-08-01,10.450
Interest Rate on Deposits and Loans in KHR,Term Deposits,2020-08-01,6.870
Interest Rate on Deposits and Loans in USD,Other Deposits,2020-08-01,0.400
Interest Rate on Deposits and Loans in USD,Overdraft,2020-08-01,0.420
Interest Rate on Deposits and Loans in USD,Credit Card,2020-08-01,4.270
Interest Rate on Deposits and Loans in USD,Term Loans,2020-08-01,0.960
Interest Rate on Deposits and Loans in USD,Other Loans,2020-08-01,7.800
Interest Rate on Deposits and Loans in USD,Demand Deposits,2020-08-01,17.980
Interest Rate on Deposits and Loans in USD,Saving Deposits,2020-08-01,9.380
Interest Rate on Deposits and Loans in USD,Term Deposits,2020-08-01,7.020
Interest Rate on Deposits and Loans in USD,Other Deposits,2020-08-01,
Interest Rate on Deposits and Loans in KHR,Overdraft,2020-09-01,0.060
Interest Rate on Deposits and Loans in KHR,Credit Card,2020-09-01,0.700
Interest Rate on Deposits and Loans in KHR,Term Loans,2020-09-01,4.680
Interest Rate on Deposits and Loans in KHR,Other Loans,2020-09-01,2.620
Interest Rate on Deposits and Loans in KHR,Demand Deposits,2020-09-01,8.390
Interest Rate on Deposits and Loans in KHR,Saving Deposits,2020-09-01,16.110
Interest Rate on Deposits and Loans in KHR,Term Deposits,2020-09-01,11.050
Interest Rate on Deposits and Loans in KHR,Other Deposits,2020-09-01,6.220
Interest Rate on Deposits and Loans in USD,Overdraft,2020-09-01,0.130
Interest Rate on Deposits and Loans in USD,Credit Card,2020-09-01,0.240
Interest Rate on Deposits and Loans in USD,Term Loans,2020-09-01,3.210
Interest Rate on Deposits and Loans in USD,Other Loans,2020-09-01,0.840
Interest Rate on Deposits and Loans in USD,Demand Deposits,2020-09-01,6.850
Interest Rate on Deposits and Loans in USD,Saving Deposits,2020-09-01,15.610
Interest Rate on Deposits and Loans in USD,Term Deposits,2020-09-01,8.370
Interest Rate on Deposits and Loans in USD,Other Deposits,2020-09-01,6.610
Interest Rate on Deposits and Loans in KHR,Overdraft,2020-09-01,0.260
